lon,lat
-1.27028,53.127306
-1.263109,53.117527
-1.26225,53.12234
-1.268655,53.114748
-1.203413,53.03934
-1.205111,53.04026
-1.220105,53.024313
-1.106672,53.3903
-1.005653,53.331603
-1.137978,53.322538
-1.137978,53.322538
-0.882845,53.233361
-1.107925,53.310164
-1.288133,53.011723
-1.277427,52.928956
-1.218304,52.937463
-1.216307,52.926914
-1.146596,53.049554
-1.118347,52.997389
-1.10079,52.960275
-1.1929,53.165353
-1.205392,53.142568
-1.195606,53.145424
-1.197089,53.146099
-1.195606,53.145424
-1.192543,53.145341
-1.155294,53.136489
-0.800266,53.077679
-0.811246,53.077951
-0.802696,53.062206
-0.792286,53.055592
-1.178924,53.00398
-1.192227,53.016198
-1.189534,52.991252
-1.132225,52.980726
-1.174151,52.979973
-1.226893,52.973136
-1.14623,52.965365
-1.153047,52.972309
-1.160129,52.97111
-1.17512,52.965875
-1.1705,52.964548
-1.188616,52.967891
-1.208058,52.966503
-1.137096,52.962746
-1.137096,52.962746
-1.169095,52.960943
-1.161266,52.965791
-1.165338,52.961195
-1.153465,52.956257
-1.153465,52.956257
-1.150533,52.960776
-1.150533,52.960776
-1.145611,52.958241
-1.148119,52.957453
-1.145725,52.955491
-1.149219,52.955678
-1.149219,52.955678
-1.150671,52.95603
-1.140243,52.960962
-1.135599,52.959382
-1.119435,52.9585
-1.179508,52.957419
-1.156117,52.953857
-1.185957,52.943799
-1.171505,52.912098
-1.151091,53.007579
-1.154231,52.954374
-1.152649,52.953842
-1.147141,52.949344
-1.146626,52.954311
-1.146489,52.952953
-1.146626,52.954311
-1.149438,52.953648
-1.149253,52.953179
-1.146489,52.952953
-1.146626,52.954311
-1.167151,52.93404
-1.198005,52.936052
-0.978336,52.983908
-0.953478,52.951716
-1.034686,52.90296
-1.204631,52.865915
-1.134612,52.859636
